Joint,Source,AxialChordSaddle,AxialChordCrown,AxialChordSide,AxialBraceSaddle,AxialBraceCrown,AxialBraceSide,OPBChordSaddle,OPBChordSide,OPBBraceSaddle,OPBBraceSide,IPBChordCrown,IPBChordSide,IPBBraceCrown,IPBBraceSide
1.1,Experiment,8.3,4.7,8.3,NaN,1.7,NaN,7.9,7.9,4,4,NaN,NaN,NaN,NaN
1.1,Efthymiou,7.4,4.4,NaN,3.3,1.3,NaN,8.6,NaN,4.7,NaN,3.8,NaN,3.2,NaN
1.1,FEA,4.2,3.8,4.9,3.9,2.8,5,4.9,5.7,4.7,5.9,2.8,3.2,2.3,2.5
1.1,FEA/2,4.2,3.8,4.9,3.9,2.8,5,4.9,5.7,4.7,5.9,2.8,3.2,2.3,2.5
1.13,Experiment,13,4.8,13,6.8,2.2,6.8,12.2,12.2,6.5,6.5,3.9,3.9,NaN,NaN
1.13,Efthymiou,13.2,4.2,NaN,6.9,1.3,NaN,15.3,NaN,8.2,NaN,4.9,NaN,3.2,NaN
1.13,FEA,9.4,4.8,10.5,10.1,2.4,10.1,10.4,11.1,10.7,10.7,3.7,3.8,2.4,3.2
1.13,FEA/2,9.4,4.8,10.5,10.1,2.4,10.1,10.4,11.1,10.7,10.7,3.7,3.8,2.4,3.2
1.3,Experiment,11.4,5.4,11.4,8.2,NaN,8.2,NaN,NaN,7.3,7.3,4.6,4.6,2.4,2.4
1.3,Efthymiou,12.1,3.9,NaN,6.7,1.3,NaN,14.2,NaN,7.9,NaN,4.5,NaN,3.2,NaN
1.3,FEA,8.8,4.5,9.7,9.9,2.4,9.9,9.7,10.4,10.7,10.7,3.5,3.5,2.4,3
1.3,FEA/2,9.6,4.5,9.6,9.9,2.4,10,10.5,10.5,10.7,10.8,3.5,3.6,2.5,3.1
1.5,Experiment,29,NaN,29,NaN,1,NaN,18.5,18.5,10.6,10.6,6.7,6.7,3.9,3.9
1.5,Efthymiou,15.2,4.3,NaN,8,0.5,NaN,18.8,NaN,10.4,NaN,5.5,NaN,3.7,NaN
1.5,FEA,12.7,6.3,12.9,12.5,2.8,12.5,15.6,15.8,15,15,4.5,4.5,2.9,3.8
1.5,FEA/2,11.5,5.9,12,12.2,2.6,12.2,14.2,14.7,14.6,14.6,4.1,4.1,2.6,3.7
1.7,Experiment,10.4,4.7,10.4,6.1,2.4,6.1,10.9,10.9,6.2,6.2,3.3,3.3,2.4,2.4
1.7,Efthymiou,8.1,4.3,NaN,3.5,0.5,NaN,10,NaN,5.7,NaN,4.1,NaN,3,NaN
1.7,FEA,4.7,4.8,5.8,4.4,2.7,5.9,6.1,7.5,5.7,7.8,3.3,3.5,2.5,2.7
1.7,FEA/2,4.5,4.2,5.1,4.2,2.4,5.5,5.7,6.7,5.4,7.4,2.8,3.2,2.3,2.5
1.9,Experiment,9.9,2.7,9.9,5,NaN,5,6.2,6.2,3.6,3.6,3.1,3.1,2.1,2.1
1.9,Efthymiou,8.8,4.7,NaN,4.2,2.1,NaN,6.7,NaN,4.8,NaN,3.9,NaN,3.6,NaN
1.9,FEA,6.5,3.6,7.1,6,3.7,6.1,5.1,5.2,4.7,4.7,2.8,2.9,2.8,2.8
1.9,FEA/2,7.3,4.5,7.5,6.3,4.1,6.9,5.8,5.8,5,5.2,3.1,3.2,3,3.1
11-12,Experiment,4.7,NaN,4.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11-12,Efthymiou,4.5,2.2,NaN,5.4,3,NaN,2.3,NaN,3,NaN,1.5,NaN,2.2,NaN
11-12,FEA,3.8,1.9,3.9,5.4,2.7,5.4,2.1,2.1,2.6,2.6,1.3,1.3,2.1,2.1
11-12,FEA/2,4.7,2.1,4.7,7.6,3.9,7.6,2.5,2.5,3.6,3.6,1.5,1.5,2.7,2.7
13-17,Experiment,7.7,NaN,7.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13-17,Efthymiou,5.9,2.9,NaN,6,3,NaN,3,NaN,3.3,NaN,1.8,NaN,2.3,NaN
13-17,FEA,5,2.3,5,5.7,2.5,5.7,2.6,2.6,2.6,2.7,1.7,1.7,2.1,2.1
13-17,FEA/2,6.2,2.8,6.2,8.7,3.8,8.7,3.1,3.1,3.9,3.9,1.9,1.9,2.8,2.9
2-3,Experiment,5.7,NaN,5.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2-3,Efthymiou,6.8,2.2,NaN,6.5,2.4,NaN,5.2,NaN,5,NaN,2.5,NaN,2.5,NaN
2-3,FEA,5.4,1.8,5.6,6.6,1.7,6.7,4.2,4.2,4.9,5,1.6,1.7,2,2.4
2-3,FEA/2,6.5,2.1,6.5,8.5,2.8,8.6,5,5,6.4,6.4,1.9,1.9,2.8,2.8
4-10,Experiment,6.7,NaN,6.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4-10,Efthymiou,7.2,2.2,NaN,6.9,2.3,NaN,5.5,NaN,5.4,NaN,2.3,NaN,2.6,NaN
4-10,FEA,5.9,1.8,5.9,6.8,1.6,6.9,4.6,4.6,5.2,5.2,1.6,1.8,2,2.4
4-10,FEA/2,6.8,2,6.8,8.9,2.7,8.9,5.3,5.3,6.8,6.8,1.9,2,2.9,2.9
SH-A,Experiment,17.3,NaN,17.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SH-A,Efthymiou,15.8,4.2,NaN,10.4,2.2,NaN,10.5,NaN,8.1,NaN,4.4,NaN,3.5,NaN
SH-A,FEA,12.1,3.1,12.3,12.3,1.9,12.3,8.1,8.1,8.2,8.2,3.1,3.2,3.1,3.3
SH-A,FEA/2,14.6,3.7,14.9,14.6,2.4,14.6,9.7,9.8,9.7,9.7,3.7,3.8,3.6,3.9
SM-A,Experiment,15.8,NaN,15.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SM-A,Efthymiou,14.8,4,NaN,10.1,2.2,NaN,9.8,NaN,7.8,NaN,4.1,NaN,3.4,NaN
SM-A,FEA,12.6,3.1,12.6,11.9,2.1,12.2,8.4,8.4,8,8.1,3,3.1,3.1,3.4
SM-A,FEA/2,14.2,3.4,14.4,14.4,2.6,14.4,9.5,9.5,9.6,9.6,3.4,3.6,3.6,3.9
SM-B,Experiment,16.1,NaN,16.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SM-B,Efthymiou,14.2,3.3,NaN,9.7,1.8,NaN,12.4,NaN,9,NaN,4,NaN,3.3,NaN
SM-B,FEA,11.7,3.1,11.7,12,1.9,12,9.9,9.9,10.3,10.3,2.7,3.1,2.7,3.2
SM-B,FEA/2,12.6,3.3,12.7,13.3,2,13.4,10.7,10.7,11.5,11.5,3.1,3.3,2.9,3.4
SM-C,Experiment,15.2,NaN,15.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SM-C,Efthymiou,11.7,3.4,NaN,7.9,1.6,NaN,12.9,NaN,8.3,NaN,3.6,NaN,2.9,NaN
SM-C,FEA,9,3.4,9.1,11.5,2,11.6,9.2,9.3,11.3,11.3,2.8,2.9,2.4,2.9
SM-C,FEA/2,9.8,3.4,9.8,11.5,2,11.5,9.9,9.9,11.2,11.2,2.8,2.8,2.4,3
SR-A,Experiment,15.2,NaN,15.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SR-A,Efthymiou,14.4,3.9,NaN,10,2.2,NaN,9.6,NaN,7.7,NaN,4,NaN,3.4,NaN
SR-A,FEA,12.1,3,12.1,11.7,2.1,12,8.2,8.2,7.9,8,2.9,3.1,3.1,3.3
SR-A,FEA/2,13.4,3.4,13.6,14.1,2.6,14.2,9,9.1,9.5,9.6,3.4,3.5,3.6,3.9
T-O,Experiment,11.6,NaN,11.6,8.4,NaN,8.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T-O,Efthymiou,10.9,2.3,NaN,9.9,1.4,NaN,9.9,NaN,9.4,NaN,3.2,NaN,3.3,NaN
T-O,FEA,9.5,2.6,9.6,11.1,1.6,11.2,8.7,8.8,10.3,10.4,2.3,2.5,2.7,2.9
T-O,FEA/2,9.6,2.6,9.7,11.1,1.6,11.6,8.8,8.9,10.3,10.7,2.3,2.5,2.7,2.9
T-R,Experiment,7.1,NaN,7.1,6.2,NaN,6.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T-R,Efthymiou,8.5,2.1,NaN,8.1,1.9,NaN,7.4,NaN,7.1,NaN,2.6,NaN,2.9,NaN
T-R,FEA,7.3,2.1,7.5,8.9,1.9,8.9,6.4,6.5,7.8,7.8,1.9,2,2.5,2.5
T-R,FEA/2,7.9,2.1,7.9,9.6,2,9.6,6.8,6.8,8.5,8.5,2,2.1,2.6,2.8
T-ST,Experiment,8.7,NaN,8.7,6,NaN,6,9.1,9.1,5.1,5.1,3.1,3.1,1.7,2
T-ST,Efthymiou,9.5,2.9,NaN,6.4,1.9,NaN,9.7,NaN,6.5,NaN,3.3,NaN,2.8,NaN
T-ST,FEA,6.4,2.9,6.7,8.1,2,8.1,6.4,6.6,7.7,7.7,2.5,2.5,2.2,2.6
T-ST,FEA/2,8,3.1,8,9,2.3,9,7.7,7.7,8.5,8.5,2.7,2.7,2.5,2.9
T-Steel,Experiment,18.5,6.4,18.5,12,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T-Steel,Efthymiou,18.3,4.5,NaN,9.9,1.5,NaN,16.7,NaN,10.8,NaN,5.9,NaN,4.1,NaN
T-Steel,FEA,14.3,4.8,14.7,12.6,1.9,12.6,12.7,13.1,11.7,11.7,4.1,4.5,2.9,4
T-Steel,FEA/2,15.8,5.1,16.4,13.9,2.2,13.9,14,14.5,12.8,12.8,4.4,4.9,3.2,4.1
T19,Experiment,11.4,5.2,11.4,6.5,0.3,6.5,NaN,NaN,NaN,NaN,2.5,2.5,1.7,2.1
T19,Efthymiou,12.4,3.8,NaN,8.3,2.3,NaN,9.3,NaN,6.7,NaN,3.6,NaN,2.9,NaN
T19,FEA,9.4,2.8,9.5,9.4,1.7,9.4,6.8,6.9,6.6,6.6,2.5,2.6,2.5,2.8
T19,FEA/2,11.4,3.3,11.4,11.4,2.1,11.4,8.1,8.1,8,8,3,3.1,2.8,3.1
T20,Experiment,6.5,2.8,6.5,4.9,0.4,4.9,NaN,NaN,NaN,NaN,1.7,1.7,2.3,2.4
T20,Efthymiou,6.9,2.2,NaN,6.5,2.3,NaN,5.5,NaN,5.2,NaN,2.3,NaN,2.5,NaN
T20,FEA,5.2,1.9,5.3,7,2,7,4.3,4.4,5.4,5.4,1.7,1.8,2.3,2.3
T20,FEA/2,6.6,2.1,6.6,8.5,2.7,8.6,5.3,5.3,6.6,6.6,1.9,2,2.8,2.8
T201,Experiment,6,2.9,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T201,Efthymiou,5.4,1.9,NaN,4.8,2.2,NaN,5,NaN,4.9,NaN,2.3,NaN,2.6,NaN
T201,FEA,4.3,1.8,4.3,5.3,2.3,5.3,4.1,4.1,5.1,5.1,1.6,1.8,2.4,2.4
T201,FEA/2,5.1,2.2,5.1,6.5,2.9,6.5,4.8,4.8,6.2,6.2,2,2,2.9,2.9
T202,Experiment,6.1,3.2,6.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T202,Efthymiou,5.4,1.9,NaN,4.8,2.2,NaN,5,NaN,4.9,NaN,2.3,NaN,2.6,NaN
T202,FEA,4.3,1.8,4.3,5.3,2.3,5.3,4.1,4.1,5.1,5.1,1.6,1.8,2.4,2.4
T202,FEA/2,5.1,2.2,5.1,6.5,2.9,6.5,4.8,4.8,6.2,6.2,2,2,2.9,2.9
T203,Experiment,6.1,2.9,6.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T203,Efthymiou,5.4,1.9,NaN,4.8,2.2,NaN,5,NaN,4.9,NaN,2.3,NaN,2.6,NaN
T203,FEA,4.3,1.8,4.3,5.3,2.3,5.3,4.1,4.1,5.1,5.1,1.6,1.8,2.4,2.4
T203,FEA/2,5.1,2.2,5.1,6.5,2.9,6.5,4.8,4.8,6.2,6.2,2,2,2.9,2.9
T204C,Experiment,5.7,2.8,5.7,5.7,1.6,5.7,4.4,4.4,4.5,4.5,2,2,1.9,2.3
T204C,Efthymiou,5.4,1.9,NaN,4.8,2.2,NaN,5,NaN,5,NaN,2.3,NaN,2.6,NaN
T204C,FEA,5.1,2,5.1,6.4,2.4,6.4,4.7,4.7,5.9,5.9,1.9,2,2.8,2.8
T204C,FEA/2,5.1,2.2,5.1,6.5,2.9,6.5,4.8,4.8,6.2,6.2,2.0,2.0,2.9,2.9
T205,Experiment,6.3,3,6.3,6.4,2.7,6.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T205,Efthymiou,5.4,1.9,NaN,4.8,2.2,NaN,5,NaN,4.9,NaN,2.3,NaN,2.6,NaN
T205,FEA,4.3,1.8,4.3,5.3,2.3,5.3,4.1,4.1,5.1,5.1,1.6,1.8,2.4,2.4
T205,FEA/2,5.1,2.2,5.1,6.5,2.9,6.5,4.8,4.8,6.2,6.2,2,2,2.9,2.9
T206,Experiment,6.7,3.2,6.7,5.3,1.7,5.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T206,Efthymiou,5.4,1.9,NaN,4.8,2.2,NaN,5,NaN,4.9,NaN,2.3,NaN,2.6,NaN
T206,FEA,4.3,1.8,4.3,5.3,2.3,5.3,4.1,4.1,5.1,5.1,1.6,1.8,2.4,2.4
T206,FEA/2,5.1,2.2,5.1,6.5,2.9,6.5,4.8,4.8,6.2,6.2,2,2,2.9,2.9
T207,Experiment,6.5,3.6,6.5,5.6,2.6,5.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T207,Efthymiou,5.4,1.9,NaN,4.8,2.2,NaN,5,NaN,4.9,NaN,2.3,NaN,2.6,NaN
T207,FEA,4.3,1.8,4.3,5.3,2.3,5.3,4.1,4.1,5.1,5.1,1.6,1.8,2.4,2.4
T207,FEA/2,5.1,2.2,5.1,6.5,2.9,6.5,4.8,4.8,6.2,6.2,2,2,2.9,2.9
T208,Experiment,5.6,3,5.6,5.5,2.5,5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T208,Efthymiou,5.4,1.9,NaN,4.8,2.2,NaN,5,NaN,4.9,NaN,2.3,NaN,2.6,NaN
T208,FEA,4.3,1.8,4.3,5.3,2.3,5.3,4.1,4.1,5.1,5.1,1.6,1.8,2.4,2.4
T208,FEA/2,5.1,2.2,5.1,6.5,2.9,6.5,4.8,4.8,6.2,6.2,2,2,2.9,2.9
T209,Experiment,5.5,2.8,5.5,5.9,2.2,5.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
